Ano,Unidade Orçamentária,Modalidade de Aplicação,Subfunção,Dotação Inicial,Dotação Atual,Empenhado,Liquidado,Pago
2001,42101 - Ministério da Cultura - Administração Direta,50 - Transferências a Instituições Privadas sem Fins Lucrativos,"391 - Patrimônio Histórico, Artístico e Arqueológico",2806803,4122443,3848809,3848809,3434207
2001,42101 - Ministério da Cultura - Administração Direta,50 - Transferências a Instituições Privadas sem Fins Lucrativos,392 - Difusão Cultural,7638509,9299612,8694246,8694246,7772745
2001,42101 - Ministério da Cultura - Administração Direta,72 - Execução Orçamentária Delegada a Consórcios Públicos,212 - Cooperação Internacional,691835,675965,549747,549747,549747
2001,42101 - Ministério da Cultura - Administração Direta,72 - Execução Orçamentária Delegada a Consórcios Públicos,"391 - Patrimônio Histórico, Artístico e Arqueológico",4992474,6382141,4963219,4963219,3293625
2001,42101 - Ministério da Cultura - Administração Direta,72 - Execução Orçamentária Delegada a Consórcios Públicos,392 - Difusão Cultural,0,384633,420028,420028,379610
2001,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,122 - Administração Geral,14980879,16403818,15955689,15955689,15482759
2001,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,126 - Tecnologia da Informação,468591,486591,483389,483389,330284
2001,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,128 - Formação de Recursos Humanos,84600,93060,84327,84327,84327
2001,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,131 - Comunicação Social,700000,700000,692252,692252,686505
2001,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,212 - Cooperação Internacional,0,15870,15870,15870,0
2001,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,301 - Atenção Básica,754510,766000,695728,695728,695728
2001,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,306 - Alimentação e Nutrição,405820,365820,337111,337111,337111
2001,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,331 - Proteção e Benefícios ao Trabalhador,272845,272845,242275,242275,242275
2001,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,365 - Educação Infantil,115000,90000,75901,75901,75901
2001,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,"391 - Patrimônio Histórico, Artístico e Arqueológico",8795726,16614329,13522042,13522042,6019200
2001,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,392 - Difusão Cultural,19432087,25683932,25319769,25319769,13243518
2001,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,122 - Administração Geral,7763924,7453924,6364233,6364233,6292961
2001,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,126 - Tecnologia da Informação,144334,144334,144209,144209,103969
